,returns_mean,returns_std,returns_skewness,returns_kurtosis,sharpe_ratio,max_drawdown,var_95,var_99,price_volatility,price_momentum_1m,price_momentum_3m,price_momentum_6m,price_to_sma20,price_to_sma50,market_correlation,beta
MSFT,0.000958787295870135,0.018002045769250196,-0.0020103802382304727,7.1689006661829,0.77548935675031,-0.37148492209082007,-0.027860845235341058,-0.045441031168002674,0.018002045769250196,-0.1263877333394272,-0.20539301385112274,-0.2267642748498797,0.9279246957033354,0.8706499640252573,0.7996191693765629,1.179646761170481
NFLX,0.0010317611643078791,0.027015210609733938,-0.9463169631917442,18.913725503546402,0.5596409874699871,-0.7594731825161348,-0.03792624876688058,-0.06763887976768555,0.027015210609733938,-0.13190287862947647,-0.31370360647537054,-0.34876351417646534,0.9290492781259341,0.8606289661795662,0.49978348523193517,1.106463724299426
NVDA,0.0022899955491588924,0.0321935062585615,0.140390466737024,4.863595784673997,1.0900543265021145,-0.663351061051825,-0.04719006641406949,-0.0779944550838652,0.0321935062585615,-0.0018019101897701617,-0.08153645121611397,0.011398309720659361,0.9865383570639961,0.9913505433883104,0.6952014053682958,1.834111954920683
PEP,0.0003737335851026135,0.013168174388049698,-0.03337538970660618,16.665439081995338,0.35486735079906023,-0.30322673593391475,-0.018887117824428073,-0.03236603734136283,0.013168174388049698,0.13719849591336963,0.1748917942539976,0.17566848509863786,1.0592534794473198,1.1086254147830024,0.5210919401117952,0.5623242935554729
PFE,0.00020009002963156518,0.016048811339455366,0.24938716338587297,3.9860330587654937,0.11941377664295048,-0.5896199444175441,-0.023650210489716255,-0.04110368282338212,0.016048811339455366,0.09624683527749656,0.14973326492117045,0.1777042189820841,1.044201708174198,1.0793858135608456,0.43310515131640415,0.5696172622563328
PG,0.00046509275554297184,0.01257463345976088,0.156721380635901,10.941433578473873,0.48695153217498083,-0.23772459756849706,-0.017760617079872882,-0.037088029324194825,0.01257463345976088,0.10151354911222432,0.10794852234248253,0.057618111305925535,1.0457929360197031,1.0925976676432028,0.470948124971259,0.48530562809470645
SLB,0.0003365187648290233,0.02741166264466025,-0.23184067166926198,9.648811910014759,0.14892158333063135,-0.8326191284594109,-0.040802708412448215,-0.07164521871853781,0.02741166264466025,0.07913880882823876,0.3841124144257708,0.5704911959569241,1.024034757580235,1.1504486113771075,0.5108987550100407,1.1476703024552135
TSLA,0.0022502927282921446,0.039918800509265835,0.29251779823067997,3.7323091771834633,0.8633127148259778,-0.7363221744219122,-0.05747622441569279,-0.10326380171758591,0.039918800509265835,-0.04954464745180309,-0.06241719529049261,0.2953114365970235,0.9828419505235315,0.940289884717699,0.5039648252842815,1.6486354331717157
UNH,0.00041064164280825606,0.020232729651663898,-1.471457595177679,21.365673098682535,0.2599180883087648,-0.6139086295945247,-0.026231820353457114,-0.05648176322503965,0.020232729651663898,-0.12470142727261713,-0.08215287111868108,0.21397560790075754,0.9721492360511864,0.9130968805650936,0.461843861398218,0.7657668736653241
WFC,0.0005182456893430621,0.021595331657881394,0.021787550716580617,7.550209604101548,0.322616656501211,-0.6445712014473014,-0.031096867665091028,-0.06032379239742983,0.021595331657881394,-0.02064434016326655,0.01518578855674102,0.1470894197332724,0.9727143460904778,0.9530613878898303,0.6463148837365054,1.1438022766458942
WMT,0.0008501856149811216,0.014050361827595911,0.1449280418975355,12.943313265108017,0.8708954834299546,-0.25739682600738334,-0.019041537657674655,-0.03258304994200445,0.014050361827595911,0.1153781936728524,0.30992898828364535,0.30407562692378165,1.0837171218836454,1.1336696975765477,0.43756676308932796,0.5038238888770509
XOM,0.0006365524720139034,0.01900318945372769,-0.011720091360816481,5.389757774488512,0.46545216365880415,-0.6100657858179772,-0.028305353395538156,-0.0494220732596013,0.01900318945372769,0.14776867565511265,0.27513582402090475,0.43604824172703305,1.053388837891919,1.1590333297772621,0.5195247463093952,0.8090580030444741
